University,Program,Year,Closing_Merit,Total_Seats,Applicants,Admission_Status
Mehran University of Engineering and Technology,Mechanical Engineering,2020,76.69,150,2400,Closed
Ghulam Ishaq Khan Institute (GIKI),Computer Science,2016,95.55,60,706,Closed
Lahore University of Management Sciences (LUMS),Mathematics,2022,93.24,150,899,Closed
Lahore University of Management Sciences (LUMS),Civil Engineering,2020,90.92,100,1352,Closed
Riphah International University,Data Science,2020,76.42,150,946,Closed
University of Gujrat,Artificial Intelligence,2023,77.44,150,2115,Closed
University of the Punjab (Gujranwala Campus),Electrical Engineering,2019,76.89,120,843,Closed
University of Management and Technology (UMT),Mathematics,2018,69.03,40,386,Closed
University of Agriculture Faisalabad (UAF),Data Science,2017,,150,1863,Closed
University of Central Punjab (UCP),Data Science,2023,77.36,80,441,Closed
University of Engineering and Technology (UET) Taxila,Data Science,2016,92.63,120,1364,Closed
University of Agriculture Faisalabad (UAF),Mathematics,2017,68.74,100,1212,Closed
University of Agriculture Faisalabad (UAF),Mechanical Engineering,2018,68.11,100,699,Closed
University of Management and Technology (UMT),Mathematics,2017,67.79,80,342,Closed
FAST National University,Computer Science,2021,94.56,50,397,Closed
University of Karachi,Biomedical Engineering,2015,76.42,40,235,Closed
National University of Sciences and Technology (NUST),Software Engineering,2015,94.97,150,1339,Closed
NED University of Engineering and Technology,Mechanical Engineering,2020,83.59,80,1202,Closed
Bahria University,Chemical Engineering,2017,78.38,120,917,Closed
Mehran University of Engineering and Technology,Computer Science,2016,81.09,80,812,Closed
University of Gujrat,Business Administration,2020,64.52,100,629,Closed
University of Management and Technology (UMT),Biomedical Engineering,2016,73.32,100,997,Closed
Islamia University of Bahawalpur,Biomedical Engineering,2019,70.82,40,364,Closed
Institute of Space Technology (IST),Business Administration,2022,81.63,80,1073,Closed
Bahauddin Zakariya University (BZU) Multan,Economics,2024,74.99,50,792,Closed
Mehran University of Engineering and Technology,Business Administration,2023,75.43,40,503,Closed
Air University Islamabad,Electrical Engineering,2017,80.77,50,404,Closed
COMSATS University Islamabad,Mathematics,2015,73.67,40,277,Closed
Ghulam Ishaq Khan Institute (GIKI),Biomedical Engineering,2019,94.41,120,942,Closed
Riphah International University,Civil Engineering,2024,69.33,100,678,Closed
Institute of Space Technology (IST),Electrical Engineering,2024,88.81,40,556,Closed
Quaid-i-Azam University (QAU),Computer Science,2018,91.45,150,820,Closed
COMSATS University Islamabad,Business Administration,2017,77.21,100,995,Closed
University of Management and Technology (UMT),Civil Engineering,2015,69.01,50,318,Closed
Islamia University of Bahawalpur,Mechanical Engineering,2018,65.62,100,628,Closed
Bahria University,Economics,2023,80.16,60,379,Closed
Lahore University of Management Sciences (LUMS),Artificial Intelligence,2019,99.5,50,389,Closed
FAST National University,Data Science,2019,92.49,100,1080,Closed
University of Agriculture Faisalabad (UAF),Artificial Intelligence,2022,81.94,40,503,Closed
University of Central Punjab (UCP),Mathematics,2021,69.52,40,370,Closed
Mehran University of Engineering and Technology,Business Administration,2020,75.88,150,860,Closed
Bahauddin Zakariya University (BZU) Multan,Economics,2020,70.43,60,730,Closed
Quaid-i-Azam University (QAU),Electrical Engineering,2015,86.86,40,483,Closed
University of Central Punjab (UCP),Data Science,2017,74.53,150,2180,Closed
Superior University Lahore,Business Administration,2016,127.37,80,1002,Closed
University of Karachi,Mechanical Engineering,2019,73.93,40,434,Closed
Lahore University of Management Sciences (LUMS),Software Engineering,2023,99.5,120,1179,Closed
FAST National University,Software Engineering,2024,94.36,50,872,Closed
University of Engineering and Technology (UET) Lahore,Electrical Engineering,2017,92.61,100,1110,Closed
University of Sargodha,Data Science,2015,70.59,40,213,Closed
Superior University Lahore,Electrical Engineering,2020,67.71,40,253,Closed
NED University of Engineering and Technology,Mechanical Engineering,2017,82.21,120,1513,Closed
FAST National University,Business Administration,2023,83.7,100,928,Closed
Mehran University of Engineering and Technology,Business Administration,2017,71.69,50,499,Closed
University of Karachi,Biomedical Engineering,2020,79.53,60,691,Closed
University of Gujrat,Mechanical Engineering,2019,66.55,80,912,Closed
University of Engineering and Technology (UET) Taxila,Software Engineering,2020,124.79,80,1148,Closed
National University of Sciences and Technology (NUST),Biomedical Engineering,2016,97.64,100,1707,Closed
National University of Sciences and Technology (NUST),Computer Science,2017,98.02,60,804,Closed
University of Engineering and Technology (UET) Taxila,Computer Science,2019,90.14,40,586,Closed
Bahria University,Mechanical Engineering,2021,76.57,60,943,Closed
NED University of Engineering and Technology,Mathematics,2020,82.43,40,568,Closed
COMSATS University Islamabad,Electrical Engineering,2017,82.38,100,1314,Closed
FAST National University,Data Science,2021,91.62,120,764,Closed
Institute of Space Technology (IST),Biomedical Engineering,2021,85.0,100,1066,Closed
National University of Sciences and Technology (NUST),Business Administration,2017,91.88,50,324,Closed
University of Engineering and Technology (UET) Lahore,Computer Science,2023,95.87,80,1084,Closed
University of Gujrat,Artificial Intelligence,2018,73.05,40,223,Closed
COMSATS University Islamabad,Civil Engineering,2020,76.18,50,402,Closed
University of Management and Technology (UMT),Mechanical Engineering,2019,72.08,40,268,Closed
Superior University Lahore,Electrical Engineering,2023,67.53,50,392,Closed
Superior University Lahore,Software Engineering,2024,69.94,150,1537,Closed
Bahria University,Biomedical Engineering,2024,82.49,50,271,Closed
Superior University Lahore,Mathematics,2017,64.02,100,797,Closed
University of Management and Technology (UMT),Business Administration,2017,68.05,120,1360,Closed
University of Karachi,Software Engineering,2020,79.38,120,1209,Closed
University of Engineering and Technology (UET) Taxila,Mechanical Engineering,2021,86.61,120,1690,Closed
Bahria University,Biomedical Engineering,2015,78.22,80,598,Closed
NED University of Engineering and Technology,Biomedical Engineering,2022,88.15,40,664,Closed
COMSATS University Islamabad,Business Administration,2016,75.14,60,343,Closed
University of Karachi,Artificial Intelligence,2017,78.34,120,1925,Closed
University of Engineering and Technology (UET) Lahore,Chemical Engineering,2019,93.02,40,574,Closed
University of the Punjab (Gujranwala Campus),Mechanical Engineering,2019,72.52,80,1082,Closed
University of Engineering and Technology (UET) Taxila,Mechanical Engineering,2022,86.36,40,640,Closed
FAST National University,Software Engineering,2021,89.61,100,661,Closed
University of the Punjab (Gujranwala Campus),Electrical Engineering,2023,80.35,120,2011,Closed
Air University Islamabad,Business Administration,2023,80.29,80,755,Closed
Mehran University of Engineering and Technology,Data Science,2018,80.97,40,546,Closed
University of the Punjab (Gujranwala Campus),Business Administration,2015,69.56,80,805,Closed
University of Agriculture Faisalabad (UAF),Data Science,2020,75.22,100,1610,Closed
Ghulam Ishaq Khan Institute (GIKI),Mathematics,2015,90.53,40,385,Closed
Quaid-i-Azam University (QAU),Chemical Engineering,2016,85.27,80,1213,Closed
University of the Punjab (Gujranwala Campus),Mathematics,2016,68.46,150,1737,Closed
University of Management and Technology (UMT),Computer Science,2015,74.53,100,1022,Closed
Lahore University of Management Sciences (LUMS),Chemical Engineering,2023,94.84,50,823,Closed
University of Agriculture Faisalabad (UAF),Mathematics,2019,68.64,80,481,Closed
Punjab University (PU),Mathematics,2023,80.52,50,420,Closed
NED University of Engineering and Technology,Data Science,2024,91.09,40,540,Closed
University of Engineering and Technology (UET) Lahore,Biomedical Engineering,2020,94.26,60,573,Closed
University of Central Punjab (UCP),Chemical Engineering,2016,71.34,50,698,Closed
University of Engineering and Technology (UET) Taxila,Computer Science,2015,88.91,150,984,Closed
University of Sargodha,Mechanical Engineering,2016,66.48,50,544,Closed
University of Management and Technology (UMT),Civil Engineering,2019,67.63,100,644,Closed
Bahria University,Computer Science,2023,81.94,80,712,Closed
NED University of Engineering and Technology,Business Administration,2019,80.23,80,1100,Closed
National University of Sciences and Technology (NUST),Chemical Engineering,2024,98.69,50,611,Closed
Air University Islamabad,Business Administration,2016,77.55,120,785,Closed
NED University of Engineering and Technology,Biomedical Engineering,2015,84.3,100,687,Closed
Institute of Space Technology (IST),Business Administration,2018,82.76,150,2169,Closed
Institute of Space Technology (IST),Computer Science,2021,90.31,100,636,Closed
NED University of Engineering and Technology,Computer Science,2016,87.83,40,586,Closed
University of Karachi,Civil Engineering,2022,74.81,40,629,Closed
Quaid-i-Azam University (QAU),Mathematics,2024,91.15,80,1407,Closed
COMSATS University Islamabad,Business Administration,2020,78.29,50,574,Closed
University of Central Punjab (UCP),Electrical Engineering,2016,69.09,80,596,Closed
Lahore University of Management Sciences (LUMS),Civil Engineering,2022,91.3,100,1784,Closed
Mehran University of Engineering and Technology,Business Administration,2021,73.35,100,1040,Closed
Punjab University (PU),Business Administration,2022,79.89,80,1216,Closed
University of the Punjab (Gujranwala Campus),Chemical Engineering,2016,73.7,150,2102,Closed
NED University of Engineering and Technology,Artificial Intelligence,2023,93.53,150,2807,Closed
Riphah International University,Biomedical Engineering,2024,71.7,40,487,Closed
Bahauddin Zakariya University (BZU) Multan,Civil Engineering,2024,67.71,120,488,Closed
National University of Sciences and Technology (NUST),Computer Science,2024,99.5,40,404,Closed
Institute of Space Technology (IST),Software Engineering,2018,85.68,60,587,Closed
Riphah International University,Business Administration,2015,66.73,80,700,Closed
Air University Islamabad,Artificial Intelligence,2024,90.61,150,843,Closed
Ghulam Ishaq Khan Institute (GIKI),Electrical Engineering,2015,94.34,120,1829,Closed
University of Karachi,Economics,2023,74.62,120,1350,Closed
University of Central Punjab (UCP),Biomedical Engineering,2023,73.26,80,1250,Closed
University of Engineering and Technology (UET) Taxila,Electrical Engineering,2017,85.61,120,1988,Closed
Islamia University of Bahawalpur,Software Engineering,2018,69.8,100,679,Closed
FAST National University,Software Engineering,2020,92.91,60,1172,Closed
University of Agriculture Faisalabad (UAF),Data Science,2019,75.41,40,359,Closed
Mehran University of Engineering and Technology,Mathematics,2020,75.6,60,307,Closed
Air University Islamabad,Chemical Engineering,2016,79.44,150,1736,Closed
Air University Islamabad,Economics,2023,79.36,100,1248,Closed
COMSATS University Islamabad,Business Administration,2015,78.2,100,1095,Closed
Bahauddin Zakariya University (BZU) Multan,Electrical Engineering,2019,75.47,150,2043,Closed
COMSATS University Islamabad,Artificial Intelligence,2018,88.27,50,818,Closed
National University of Sciences and Technology (NUST),Chemical Engineering,2020,153.41,40,305,Closed
Superior University Lahore,Data Science,2023,73.22,50,363,Closed
National University of Sciences and Technology (NUST),Chemical Engineering,2015,93.58,100,1697,Closed
Bahria University,Data Science,2021,85.36,60,553,Closed
National University of Sciences and Technology (NUST),Data Science,2021,99.5,50,1039,Closed
Quaid-i-Azam University (QAU),Mechanical Engineering,2016,83.23,60,358,Closed
Riphah International University,Biomedical Engineering,2023,76.71,120,1049,Closed
Riphah International University,Biomedical Engineering,2021,74.58,80,1078,Closed
University of Management and Technology (UMT),Computer Science,2023,78.86,100,805,Closed
Superior University Lahore,Artificial Intelligence,2024,74.53,60,351,Closed
Air University Islamabad,Computer Science,2016,87.52,80,1262,Closed
University of Sargodha,Artificial Intelligence,2015,70.62,150,609,Closed
COMSATS University Islamabad,Mechanical Engineering,2019,77.9,50,632,Closed
Lahore University of Management Sciences (LUMS),Electrical Engineering,2023,98.98,150,1895,Closed
University of Agriculture Faisalabad (UAF),Computer Science,2022,80.2,150,1185,Closed
Bahauddin Zakariya University (BZU) Multan,Electrical Engineering,2021,75.54,60,496,Closed
University of Gujrat,Mechanical Engineering,2018,66.34,120,520,Closed
Riphah International University,Business Administration,2015,66.73,80,700,Closed
Riphah International University,Data Science,2019,78.99,120,1513,Closed
COMSATS University Islamabad,Mechanical Engineering,2018,80.44,60,699,Closed
Air University Islamabad,Software Engineering,2018,82.94,60,1006,Closed
University of the Punjab (Gujranwala Campus),Civil Engineering,2021,71.03,60,874,Closed
Punjab University (PU),Biomedical Engineering,2017,83.43,50,668,Closed
